x,y,Floor,Room #,Teacher
27,0,1,null,
27,1,1,null,
27,2,1,null,
27,3,1,null,
27,4,1,null,
27,5,1,null,
27,6,1,null,
27,7,1,null,
27,8,1,Hall,
27,9,1,null,
27,10,1,null,
27,11,1,null,
27,12,1,null,
27,13,1,null,
27,14,1,null,
27,15,1,null,
27,16,1,Hall,
27,17,1,null,
27,18,1,null,
27,19,1,null,
27,20,1,null,
27,21,1,null,
27,22,1,null,
27,23,1,null,
27,24,1,null,
27,25,1,null,
27,26,1,null,
27,27,1,Hall,
27,28,1,null,
27,29,1,null,
27,30,1,null,
27,31,1,null,
27,32,1,null,
27,33,1,null,
27,34,1,null,
27,35,1,Hall,
27,36,1,null,
27,37,1,null,
28,0,1,null,
28,1,1,null,
28,2,1,null,
28,3,1,null,
28,4,1,null,
28,5,1,null,
28,6,1,null,
28,7,1,null,
28,8,1,Hall,
28,9,1,null,
28,10,1,null,
28,11,1,null,
28,12,1,null,
28,13,1,null,
28,14,1,null,
28,15,1,null,
28,16,1,Hall,
28,17,1,null,
28,18,1,908,Grigsby
28,19,1,null,
28,20,1,910,Grigsby
28,21,1,912,Bruns
28,22,1,null,
28,23,1,914,Walton
28,24,1,916,Creek
28,25,1,918,Findley
28,26,1,null,
28,27,1,Hall,
28,28,1,920,Shelby
28,29,1,null,
28,30,1,922,Amin
28,31,1,924,Clutter
28,32,1,null,
28,33,1,null,
28,34,1,null,
28,35,1,Hall,
28,36,1,930,Haines
28,37,1,null,
29,0,1,null,
29,1,1,null,
29,2,1,null,
29,3,1,null,
29,4,1,Hall,
29,5,1,Hall,
29,6,1,Hall,
29,7,1,903,Haynes
29,8,1,Hall,
29,9,1,Hall,
29,10,1,905,Hansen
29,11,1,Hall,
29,12,1,Hall,
29,13,1,Hall,
29,14,1,Hall,
29,15,1,Hall,
29,16,1,Intersection,
29,17,1,Hall,
29,18,1,909,Blevins/Alonzo
29,19,1,Hall,
29,20,1,913,McCleary
29,21,1,915,Trowbridge
29,22,1,Hall,
29,23,1,917,A. Laws
29,24,1,Hall,
29,25,1,919,Foreign Lang Lab
29,26,1,Hall,
29,27,1,Intersection,
29,28,1,921,Davis
29,29,1,Hall,
29,30,1,Hall,
29,31,1,923,Bartolotta
29,32,1,Hall,
29,33,1,925,Moore
29,34,1,927,Moresi
29,35,1,Hall,
29,36,1,929,Phillips
29,37,1,null,
30,0,1,null,
30,1,1,null,
30,2,1,null,
30,3,1,null,
30,4,1,null,
30,5,1,null,
30,6,1,null,
30,7,1,null,
30,8,1,null,
30,9,1,null,
30,10,1,null,
30,11,1,null,
30,12,1,null,
30,13,1,null,
30,14,1,Hall,
30,15,1,null,
30,16,1,null,
30,17,1,null,
30,18,1,null,
30,19,1,null,
30,20,1,null,
30,21,1,null,
30,22,1,null,
30,23,1,null,
30,24,1,null,
30,25,1,null,
30,26,1,null,
30,27,1,null,
30,28,1,null,
30,29,1,null,
30,30,1,null,
30,31,1,null,
30,32,1,null,
30,33,1,null,
30,34,1,null,
30,35,1,Stairs,51,34,
30,36,1,null,
30,37,1,null,
31,0,1,null,
31,1,1,null,
31,2,1,null,
31,3,1,null,
31,4,1,null,
31,5,1,null,
31,6,1,null,
31,7,1,null,
31,8,1,null,
31,9,1,null,
31,10,1,null,
31,11,1,null,
31,12,1,null,
31,13,1,null,
31,14,1,Hall,
31,15,1,928,Barrett/Sundberg
31,16,1,null,
31,17,1,null,
31,18,1,null,
31,19,1,null,
31,20,1,null,
31,21,1,null,
31,22,1,null,
31,23,1,null,
31,24,1,null,
31,25,1,null,
31,26,1,null,
31,27,1,null,
31,28,1,null,
31,29,1,null,
31,30,1,null,
31,31,1,null,
31,32,1,null,
31,33,1,null,
31,34,1,null,
31,35,1,null,
31,36,1,null,
31,37,1,null,
32,0,1,null,
32,1,1,null,
32,2,1,null,
32,3,1,null,
32,4,1,null,
32,5,1,null,
32,6,1,null,
32,7,1,null,
32,8,1,null,
32,9,1,Hall,
32,10,1,907,Bean/Schulte
32,11,1,902/904,Wrestling
32,12,1,Hall,
32,13,1,Hall,
32,14,1,Hall,
32,15,1,null,
32,16,1,null,
32,17,1,null,
32,18,1,null,
32,19,1,null,
32,20,1,null,
32,21,1,null,
32,22,1,null,
32,23,1,null,
32,24,1,null,
32,25,1,null,
32,26,1,null,
32,27,1,null,
32,28,1,null,
32,29,1,null,
32,30,1,null,
32,31,1,null,
32,32,1,null,
32,33,1,null,
32,34,1,null,
32,35,1,null,
32,36,1,null,
32,37,1,null,
33,0,1,null,
33,1,1,null,
33,2,1,null,
33,3,1,null,
33,4,1,null,
33,5,1,null,
33,6,1,null,
33,7,1,null,
33,8,1,null,
33,9,1,null,
33,10,1,null,
33,11,1,null,
33,12,1,null,
33,13,1,null,
33,14,1,null,
33,15,1,null,
33,16,1,null,
33,17,1,null,
33,18,1,null,
33,19,1,null,
33,20,1,null,
33,21,1,null,
33,22,1,null,
33,23,1,null,
33,24,1,null,
33,25,1,null,
33,26,1,null,
33,27,1,null,
